Player,Nation,Pos,Won,Lost,Won%,Matches
Kacper Przybyłko\4c53a714,pl POL,FW,2.56,2.56,50,Matches
Brenden Aaronson\5bc43860,us USA,MF,0.66,1.32,33.3,Matches
Mark McKenzie\a5f5d094,us USA,DF,2.32,1.5,60.7,Matches
Jamiro Monteiro\d384bddd,cv CPV,MF,0.09,0.28,25,Matches
Andre Blake\b3b21a11,jm JAM,GK,0,0,,Matches
Alejandro Bedoya\9a6f8dfd,us USA,MF,2.27,2.27,50,Matches
Jakob Glesnes\ac65aef3,no NOR,DF,2.89,1.57,64.9,Matches
Sergio Santos Gomes\a930b263,br BRA,FW,2.84,4.7,37.6,Matches
Ray Gaddis\8348b24d,us USA,DF,0.43,0.28,60,Matches
Kai Wagner\fdc715d9,de GER,DF,1.98,1.22,61.9,Matches
José Andrés Martínez\c8364e8e,ve VEN,MF,1.73,1.02,62.9,Matches
Olivier Mbaizo\f6315619,cm CMR,DF,0.85,1.54,35.7,Matches
Jack Elliott\041deebd,eng ENG,DFMF,1.38,1.38,50,Matches
Matthew Real\1c2c030a,us USA,DF,1.14,0.43,72.7,Matches
Anthony Fontana\1f34358e,us USA,MFFW,0.53,1.58,25,Matches
Andrew Wooten\dacc061c,us USA,FW,0.6,1.6,27.3,Matches
Warren Creavalle\ac4e49fa,us USA,MF,0.7,0.7,50,Matches
Ilsinho\aa8683ae,br BRA,FWMF,0.56,0.85,40,Matches
Joe Bendik\c3e50b67,us USA,GK,0,0,,Matches
Matt Freese\2f49476c,us USA,GK,0,0,,Matches
Cory Burke\39fde61c,jm JAM,FW,8.46,5.38,61.1,Matches
Jack De Vries\92f54859,us USA,MFFW,0,0,,Matches
Cole Turner\30ec7b37,us USA,MF,0,0,,Matches
Squad Total,,,15.9,15.7,50.4,
Opponent Total,,,15.7,15.9,49.6,