"Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes"
"1,New England,34,22,7,5,65,41,+24,73,56.2,44.0,+12.1,+0.36,12204,Adam Buksa - 16,Matt Turner,→ Conference semifinals"
"2,Philadelphia,34,14,12,8,48,35,+13,54,47.2,39.7,+7.5,+0.22,11385,Kacper Przybyłko - 12,Andre Blake,→ First round"
"3,Nashville,34,12,18,4,55,33,+22,54,45.9,33.7,+12.2,+0.36,17485,Hany Mukhtar - 16,Joe Willis,→ First round"
"4,NYCFC,34,14,9,11,56,36,+20,51,58.3,35.6,+22.7,+0.67,1915,Valentín Castellanos - 19,Sean Johnson,→ First round"
"5,Atlanta Utd,34,13,12,9,45,37,+8,51,43.9,46.9,-3.0,-0.09,43964,Josef Martínez - 12,Brad Guzan,→ First round"
"6,Orlando City,34,13,12,9,50,48,+2,51,44.6,42.1,+2.6,+0.08,14723,Daryl Dike Nani - 10,Pedro Gallese,→ First round"
"7,NY Red Bulls,34,13,9,12,39,33,+6,48,46.5,39.0,+7.5,+0.22,10065,Patryk Klimala - 8,Carlos Coronel,→ First round"
"8,D.C. United,34,14,5,15,56,54,+2,47,54.9,40.2,+14.7,+0.43,11880,Ola Kamara - 19,Bill Hamid,"
"9,Columbus Crew,34,13,8,13,46,45,+1,47,40.5,44.8,-4.2,-0.12,16583,Lucas Zelarayán - 12,Eloy Room,"
"10,CF Montréal,34,12,10,12,46,44,+2,46,46.8,44.0,+2.8,+0.08,647,Romell Quioto - 8,James Pantemis,"
"11,Inter Miami,34,12,5,17,36,53,-17,41,34.9,51.9,-17.0,-0.50,11635,Gonzalo Higuaín - 12,Nick Marsman,"
"12,Chicago Fire,34,9,7,18,36,54,-18,34,43.3,52.8,-9.5,-0.28,10226,Luka Stojanović Robert Berić - 8,Bobby Shuttleworth,"
"13,Toronto FC,34,6,10,18,39,66,-27,28,41.5,58.9,-17.4,-0.51,4181,Jozy Altidore Jonathan Osorio - 4,Alex Bono,"
"14,FC Cincinnati,34,4,8,22,37,74,-37,20,38.4,61.5,-23.1,-0.68,21175,Brenner - 8,Kenneth Vermeer,"