Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Atlanta Utd,27,23,49,3,2,314,336,41,308,109,240,3,0,0,1912,271,300,47.5
Chicago Fire,25,23,40,1,0,324,285,56,278,165,273,3,2,1,2155,289,318,47.6
Colorado Rapids,22,18,30,2,0,202,185,27,226,115,182,0,3,1,1533,256,218,54
Columbus Crew,26,23,45,0,0,312,318,43,317,132,244,4,6,0,1909,317,314,50.2
D.C. United,26,23,44,3,2,269,279,49,212,146,254,1,3,1,1964,358,407,46.8
FC Cincinnati,30,23,40,0,0,315,306,36,188,140,249,2,3,0,1851,313,267,54
FC Dallas,27,22,41,1,1,258,285,28,279,138,262,3,3,0,1887,348,288,54.7
Houston Dynamo,26,23,55,3,2,274,252,45,274,125,252,2,3,1,1999,267,320,45.5
Inter Miami,28,23,57,4,3,334,323,50,314,156,242,1,6,1,2075,287,295,49.3
LA Galaxy,25,22,42,4,2,291,198,35,320,143,268,2,6,0,1965,309,292,51.4
Los Angeles FC,28,22,36,1,0,262,254,43,286,134,309,1,5,3,2379,264,291,47.6
Minnesota Utd,28,21,40,2,0,279,259,26,272,136,277,3,5,1,1938,302,287,51.3
Montreal Impact,26,23,32,5,0,271,218,48,242,149,221,3,3,1,1848,242,247,49.5
Nashville,26,23,34,1,1,316,266,25,254,123,269,1,0,0,1964,362,370,49.5
New England,25,23,36,2,1,277,280,45,331,149,256,3,1,2,2262,400,379,51.3
NY Red Bulls,27,23,30,1,0,296,266,49,321,137,262,1,3,1,2606,460,426,51.9
NYCFC,22,23,50,1,0,361,246,67,247,151,302,2,4,0,2176,329,308,51.6
Orlando City,28,23,48,2,1,293,298,27,252,113,261,1,1,1,1818,289,330,46.7
Philadelphia,23,23,55,0,0,323,234,48,292,158,306,1,2,0,2069,366,360,50.4
Portland Timbers,27,23,45,1,1,258,289,25,238,154,243,1,2,0,1984,319,328,49.3
Real Salt Lake,26,22,49,2,1,285,219,28,296,126,241,2,1,2,2072,372,372,50
San Jose,27,23,38,1,1,280,268,33,283,152,269,3,4,3,1956,250,291,46.2
Seattle,27,22,32,0,0,217,234,42,315,150,246,1,2,1,1930,349,267,56.7
Sporting KC,23,21,45,2,1,262,230,30,275,136,237,0,2,2,1924,314,324,49.2
Toronto FC,29,23,35,0,0,249,275,42,266,95,250,3,2,1,2041,235,269,46.6
Vancouver,27,23,45,4,2,270,304,26,210,163,234,4,3,3,1706,314,314,50