Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Atlanta Utd,30,34,15376,18170,84.6,305397,91747,6150,6700,91.8,6569,7237,90.8,2434,3692,65.9,29,32.4,-3.4,351,974,252,74,977
Austin FC,27,34,14707,17512,84,297637,95587,5459,6027,90.6,6767,7584,89.2,2323,3428,67.8,27,36,-9,350,1136,320,84,1215
CF Montréal,28,34,14697,17515,83.9,285055,95190,5853,6533,89.6,6627,7387,89.7,2027,3077,65.9,33,33.5,-0.5,294,1123,272,61,1223
Chicago Fire,25,34,12500,15869,78.8,239031,88306,5393,6095,88.5,5027,5986,84,1815,3119,58.2,26,33.3,-7.3,367,884,290,92,1044
Colorado Rapids,27,34,13053,15900,82.1,271520,91941,4552,5155,88.3,6048,6830,88.6,2243,3419,65.6,38,36.9,+1.1,348,1093,254,70,1166
Columbus Crew,27,34,13517,16530,81.8,281767,93887,4741,5312,89.3,6280,7057,89,2324,3684,63.1,23,28.3,-5.3,286,1038,237,65,1090
D.C. United,29,34,10609,14062,75.4,223620,83332,3775,4497,83.9,4767,5672,84,1932,3405,56.7,39,36,+3.0,333,871,291,77,1142
FC Cincinnati,29,34,13060,15777,82.8,254341,81717,5301,5837,90.8,5590,6260,89.3,1921,3120,61.6,25,25.9,-0.9,279,818,220,45,923
FC Dallas,26,34,13818,16840,82.1,274757,88812,5248,5899,89,6216,6984,89,2110,3401,62,36,33.6,+2.4,331,925,239,61,1052
Houston Dynamo,30,34,11182,14372,77.8,228408,79338,4150,4764,87.1,5019,5899,85.1,1861,3173,58.7,23,27,-4,304,945,224,65,1087
Inter Miami,26,34,12541,15274,82.1,254417,87249,4859,5408,89.8,5409,6112,88.5,2070,3266,63.4,28,24.2,+3.8,249,973,225,56,1015
LA Galaxy,29,34,15695,18641,84.2,302208,96978,6257,6925,90.4,7023,7843,89.5,2148,3275,65.6,33,35.4,-2.4,328,1073,304,84,1270
Los Angeles FC,30,34,12767,16028,79.7,235603,88806,5702,6446,88.5,5190,6046,85.8,1596,2858,55.8,35,42,-7,377,1114,371,58,1382
Minnesota Utd,27,34,13232,16493,80.2,255949,93722,5562,6310,88.1,5491,6401,85.8,1937,3197,60.6,29,35.3,-6.3,365,1171,295,83,1318
Nashville,28,34,12347,15383,80.3,259452,90255,4345,4955,87.7,5562,6373,87.3,2266,3572,63.4,42,34.1,+7.9,334,934,247,76,1026
New England,25,34,13218,16355,80.8,273722,97972,4744,5428,87.4,6026,6876,87.6,2272,3518,64.6,48,44.7,+3.3,395,1111,372,108,1279
NY Red Bulls,28,34,9926,13944,71.2,200440,78244,4008,4777,83.9,4007,5030,79.7,1697,3444,49.3,30,31.6,-1.6,345,962,287,86,1124
NYCFC,26,34,13880,17092,81.2,266071,96645,5723,6501,88,5974,6874,86.9,1953,3071,63.6,38,40,-2,384,1037,385,80,1462
Orlando City,29,34,13931,16683,83.5,271870,93611,5540,6160,89.9,6132,6912,88.7,2066,3123,66.2,38,30.6,+7.4,302,993,272,65,1129
Philadelphia,27,34,11554,15055,76.7,244296,88691,4332,5080,85.3,4809,5764,83.4,2210,3609,61.2,32,33.4,-1.4,321,1011,350,99,1260
Portland Timbers,29,34,12172,15143,80.4,242963,89558,4813,5439,88.5,5255,6093,86.2,1915,3112,61.5,38,34.6,+3.4,335,981,270,61,1196
Real Salt Lake,26,34,12691,15802,80.3,265725,91803,4649,5255,88.5,5661,6477,87.4,2218,3619,61.3,46,35.9,+10.1,352,989,272,93,1083
San Jose,24,34,12818,15804,81.1,276476,86677,4271,4865,87.8,5739,6520,88,2582,3838,67.3,30,32.5,-2.5,328,880,229,69,1009
Seattle,29,34,12961,16266,79.7,256352,89511,5049,5720,88.3,5611,6522,86,2007,3341,60.1,32,32.1,-0.1,304,932,241,75,1077
Sporting KC,25,34,16101,19106,84.3,336229,96552,5565,6200,89.8,7605,8355,91,2753,4002,68.8,38,33.2,+4.8,314,1293,293,84,1254
Toronto FC,30,34,14023,17101,82,251034,87765,6528,7222,90.4,5546,6374,87,1616,2793,57.9,29,30.6,-1.6,256,1072,291,53,1197
Vancouver,27,34,11915,14984,79.5,251117,85115,4165,4760,87.5,5428,6234,87.1,2180,3541,61.6,31,25.6,+5.4,240,880,196,62,970