Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog
Daryl Dike\d4cfc93c,18,us USA,FW,21-173,90,6,9,66.7,73,32,3,4,75,2,3,66.7,0,0,,0,0,0,0,0,0,1
Benji Michel\151ca25f,19,us USA,LW,24-031,74,14,19,73.7,233,10,6,7,85.7,7,7,100,1,2,50,0,0,1,0,0,0,0
Nani\15e9c7e6,17,pt POR,LW,35-006,16,4,10,40,59,12,2,5,40,2,3,66.7,0,2,0,0,0,0,0,0,0,0
Chris Mueller\a5334099,9,us USA,RW,25-086,80,26,36,72.2,391,76,20,26,76.9,4,6,66.7,2,4,50,0,0,0,3,0,0,2
Tesho Akindele\897304e5,13,ca CAN,RW,29-237,10,5,6,83.3,66,4,4,5,80,1,1,100,0,0,,0,0.1,1,0,0,0,0
Mauricio Pereyra\f45eb18d,10,uy URU,AMDM,31-253,90,45,62,72.6,761,215,21,29,72.4,18,21,85.7,5,10,50,1,0.2,1,3,3,0,6
Jhegson Méndez\db0c5324,8,ec ECU,DM,24-211,79,43,48,89.6,671,173,25,26,96.2,16,18,88.9,2,4,50,0,0,0,3,0,0,1
Alexandre Pato\7dd83c7d,7,br BRA,AM,32-082,11,4,5,80,85,16,2,2,100,0,1,0,2,2,100,0,0,0,0,0,0,1
Júnior Urso\b40424f1,11,br BRA,DM,32-258,90,37,42,88.1,670,253,17,21,81,12,13,92.3,7,7,100,0,0,1,4,0,0,4
Emmanuel Más\b9385e1f,3,ar ARG,LB,32-312,89,55,65,84.6,1044,464,24,25,96,22,27,81.5,8,12,66.7,0,0,1,2,2,1,5
Silvester van der Water\5d83500d,14,nl NED,LB,25-054,1,3,4,75,86,34,1,1,100,1,1,100,1,2,50,0,0.1,1,0,1,1,0
Robin Jansson\8ca5c176,6,se SWE,CB,30-008,90,51,56,91.1,1223,399,9,10,90,28,29,96.6,14,17,82.4,0,0,0,4,1,0,1
Antonio Carlos\949fe1e8,25,br BRA,CB,28-261,90,42,52,80.8,988,259,6,8,75,26,30,86.7,10,14,71.4,0,0,0,3,0,0,2
Ruan\f2665f7c,2,br BRA,RB,26-178,90,35,43,81.4,614,147,15,15,100,19,23,82.6,1,4,25,0,0,1,4,1,0,5
Pedro Gallese\b76e1394,1,pe PER,GK,31-273,90,23,26,88.5,821,667,3,3,100,9,9,100,11,14,78.6,0,0,0,2,0,0,0