Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-04-18,17:30,MLS,Regular Season,Sun,Away,D,0,0,Columbus Crew,1.2,1.5,51,5180,Alejandro Bedoya,4-4-2◆,Ramy Touchan,Match Report,
2021-04-24,20:00,MLS,Regular Season,Sat,Home,L,1,2,Inter Miami,1.1,0.9,54,5000,Alejandro Bedoya,4-4-2◆,Alex Chilowicz,Match Report,
2021-05-01,19:30,MLS,Regular Season,Sat,Home,L,0,2,NYCFC,0.2,2.6,33,,Alejandro Bedoya,4-4-2◆,Ismail Elfath,Match Report,
2021-05-08,12:00 (13:00),MLS,Regular Season,Sat,Away,W,2,0,Chicago Fire,1.7,1,42,6457,Alejandro Bedoya,4-4-2◆,Marcos de Oliveira,Match Report,
2021-05-12,19:30,MLS,Regular Season,Wed,Home,D,1,1,New England,2.1,1.4,49,5000,Alejandro Bedoya,4-4-2◆,Tori Penso,Match Report,
2021-05-15,19:30,MLS,Regular Season,Sat,Home,W,1,0,NY Red Bulls,1.5,1.2,50,5000,Alejandro Bedoya,4-4-2◆,Allen Chapman,Match Report,
2021-05-23,19:15,MLS,Regular Season,Sun,Away,W,1,0,D.C. United,1,1.4,48,6200,Alejandro Bedoya,4-4-2◆,Timothy Ford,Match Report,
2021-05-30,19:00,MLS,Regular Season,Sun,Home,W,3,0,Portland Timbers,2.7,1.2,53,6635,Alejandro Bedoya,4-4-2◆,Robert Sibiga,Match Report,
2021-06-20,14:00,MLS,Regular Season,Sun,Away,D,2,2,Atlanta Utd,2.1,0.9,44,42523,Alejandro Bedoya,4-4-2◆,Ted Unkel,Match Report,
2021-06-23,19:30,MLS,Regular Season,Wed,Home,W,1,0,Columbus Crew,0.4,0.6,38,16234,Alejandro Bedoya,4-4-2◆,Joe Dickerson,Match Report,
2021-06-26,19:00 (20:00),MLS,Regular Season,Sat,Away,D,3,3,Chicago Fire,1.1,1.1,58,7308,Andre Blake,4-4-2◆,Fotis Bazakos,Match Report,
2021-07-03,19:00 (20:00),MLS,Regular Season,Sat,Away,L,0,1,Nashville,0.9,1.3,52,21822,Alejandro Bedoya,4-4-2◆,Robert Sibiga,Match Report,
2021-07-08,20:00,MLS,Regular Season,Thu,Away,D,1,1,NY Red Bulls,1,2,53,10013,Alejandro Bedoya,4-4-2◆,Víctor Rivas,Match Report,
2021-07-17,19:30,MLS,Regular Season,Sat,Home,W,2,1,D.C. United,1.6,1.4,45,16821,Alejandro Bedoya,4-4-2◆,Alex Chilowicz,Match Report,
2021-07-22,19:30,MLS,Regular Season,Thu,Away,L,1,2,Orlando City,1.3,0.9,51,15432,Alejandro Bedoya,4-4-2◆,Alan Kelly,Match Report,
2021-07-25,19:30,MLS,Regular Season,Sun,Away,D,1,1,Inter Miami,1.5,1,46,14057,Alejandro Bedoya,4-3-2-1,Joe Dickerson,Match Report,
2021-08-01,18:00,MLS,Regular Season,Sun,Home,D,1,1,Chicago Fire,2,0.2,55,16677,Alejandro Bedoya,4-3-2-1,Michael Radchuk,Match Report,
2021-08-04,19:30,MLS,Regular Season,Wed,Home,W,3,0,Toronto FC,2.4,1.4,51,14303,Alejandro Bedoya,4-3-2-1,Ted Unkel,Match Report,
2021-08-08,18:00,MLS,Regular Season,Sun,Away,L,1,2,New England,1.3,2.7,47,17054,Andre Blake,3-4-2003,Armando Villarreal,Match Report,
2021-08-18,19:30,MLS,Regular Season,Wed,Home,W,1,0,NYCFC,0.5,0.9,41,15263,Alejandro Bedoya,4-4-2◆,Drew Fischer,Match Report,
2021-08-21,20:00,MLS,Regular Season,Sat,Home,D,1,1,CF Montréal,1.1,1,57,14794,Andre Blake,4-4-2◆,Chris Penso,Match Report,
2021-08-28,20:00,MLS,Regular Season,Sat,Away,L,1,3,D.C. United,0.4,2.8,50,16593,Alejandro Bedoya,4-4-2◆,Rubiel Vázquez,Match Report,
2021-09-03,19:30,MLS,Regular Season,Fri,Home,L,0,1,New England,0.7,1,60,15152,Alejandro Bedoya,4-2-3-1,Jair Marrufo,Match Report,
2021-09-19,16:00,MLS,Regular Season,Sun,Home,W,3,1,Orlando City,2.1,0.6,51,15032,Alejandro Bedoya,4-4-2◆,Alan Kelly,Match Report,
2021-09-25,15:30,MLS,Regular Season,Sat,Home,W,1,0,Atlanta Utd,1.3,0.2,50,,Andre Blake,4-4-2◆,Robert Sibiga,Match Report,
2021-09-29,19:30,MLS,Regular Season,Wed,Away,D,1,1,NY Red Bulls,0.9,0.7,51,9193,Alejandro Bedoya,4-4-2◆,Alex Chilowicz,Match Report,
2021-10-03,16:00,MLS,Regular Season,Sun,Home,W,3,0,Columbus Crew,1.2,1.6,36,15578,Alejandro Bedoya,4-4-2◆,Víctor Rivas,Match Report,
2021-10-09,20:00,MLS,Regular Season,Sat,Away,W,2,1,FC Cincinnati,1.6,1.6,38,21674,Alejandro Bedoya,3-4-1-2,Lukasz Szpala,Match Report,
2021-10-16,13:00,MLS,Regular Season,Sat,Away,D,2,2,CF Montréal,0.2,0.6,36,,Alejandro Bedoya,4-4-2◆,Pierre-Luc Lauzière,Match Report,
2021-10-20,19:00 (20:00),MLS,Regular Season,Wed,Away,L,2,3,Minnesota Utd,2.2,1.8,58,,Alejandro Bedoya,4-1-4-1,Allen Chapman,Match Report,
2021-10-23,19:30,MLS,Regular Season,Sat,Home,W,1,0,Nashville,1.6,0.3,50,18575,Alejandro Bedoya,4-3-2003,Armando Villarreal,Match Report,
2021-10-27,19:30,MLS,Regular Season,Wed,Away,D,2,2,Toronto FC,2,1.3,40,5026,Alejandro Bedoya,4-3-2003,Silviu Petrescu,Match Report,
2021-10-31,19:30,MLS,Regular Season,Sun,Home,W,2,0,FC Cincinnati,2.5,0.4,51,13488,Alejandro Bedoya,4-3-2003,Fotis Bazakos,Match Report,
2021-11-07,15:30,MLS,Regular Season,Sun,Away,D,1,1,NYCFC,1.8,0.5,55,,Alejandro Bedoya,4-4-2◆,Guido Gonzalez,Match Report,
2021-11-20,14:30,MLS,First round,Sat,Home,W,1,0,NY Red Bulls,2.1,0.9,48,18623,Alejandro Bedoya,4-3-2-1,Fotis Bazakos,Match Report,Required Extra Time
2021-11-28,17:30,MLS,Conference semifinals,Sun,Home,D,1 (2),1 (0),Nashville,2.3,1,50,19076,Alejandro Bedoya,4-3-2-1,Allen Chapman,Match Report,Philadelphia won on penalty kicks following extra time
2021-12-05,15:00,MLS,Conference finals,Sun,Home,L,1,2,NYCFC,0.4,1.4,37,19487,Jamiro Monteiro,4-3-2-1,Ted Unkel,Match Report,