Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Atlanta Utd,27,23,16.7,10.4,8.35,6.48,1.87,5.04,13.7,36.7,8.7,139.4,42,30.1,49.2,62.2,28,13.1,3.13,0.09,9.96,4.74,21.4,13.7,0.17
Chicago Fire,25,23,17,11.9,8.52,5.87,2.65,5.87,15.3,38.2,9.48,133.4,42.8,32.1,41.6,58,33.8,16.2,3.43,0.22,12.7,7.17,24.2,20.5,0.13
Colorado Rapids,22,18,15.4,10.1,6.67,6.5,2.22,5,13.6,36.7,8.61,130.3,39.1,30,40.2,59.9,30.2,15.2,4.5,0.11,10.7,6.39,21.8,21.4,0.33
Columbus Crew,26,23,17.1,10.6,7.13,7.26,2.7,4.43,12.4,35.8,7.96,118.2,37.3,31.6,37.5,55.1,25.6,14.9,3.65,0.04,11.3,5.74,22.8,20.7,0.26
D.C. United,26,23,20,11,12.7,5.83,1.48,6.7,18.1,37,11.4,153.7,42.3,27.6,64.5,60.9,28.3,18.3,4.52,0.09,13.7,6.35,26.3,25.3,0.26
FC Cincinnati,30,23,17,10.8,9.57,6,1.48,6,16,37.5,10,136.2,41.7,30.6,54.5,58.1,23.6,14.5,3.39,0,11.1,6.09,23.1,20,0.3
FC Dallas,27,22,19.6,11.9,10.3,7.41,1.91,5.68,16.6,34.2,10.9,135.5,37.9,28,53.2,55.1,27.1,16,5.32,0.09,10.7,6.27,25.9,25.5,0.23
Houston Dynamo,26,23,17.3,11,9.39,5.7,2.17,6.35,18.1,35.1,11.7,133.2,39.5,29.6,50.3,51.5,31.3,16.4,4.04,0.13,12.3,5.43,22.7,23.1,0.35
Inter Miami,28,23,17.1,10.5,7.87,6.78,2.43,4.3,14.3,30,10,151.8,44.4,29.2,48,69.6,34.3,14.9,3,0.04,11.9,6.78,23.9,16.2,0.17
LA Galaxy,25,22,19.1,12.2,10.2,6.59,2.32,5.59,15.5,36.2,9.86,145.6,40.6,27.9,50.4,63.2,32.1,15.7,3.27,0.14,12.4,6.5,25.6,21.5,0.05
Los Angeles FC,28,22,20.7,14,9.27,8.23,3.23,6.27,19.2,32.6,13,162.5,58.3,35.9,46.7,71.3,44.5,17.2,2.77,0.09,14.4,6.09,26.8,19.7,0.18
Minnesota Utd,28,21,19.9,13.2,9.43,8.05,2.38,6.29,16.2,38.7,9.95,153.9,49,31.8,52.6,68.9,32.3,17.7,4,0.1,13.7,6.48,26.3,22.4,0.24
Montreal Impact,26,23,15.7,9.61,7.91,5.91,1.91,4.43,12.6,35.2,8.17,122.3,35.4,29,41.3,54.5,26.5,14,3,0.09,11,6.48,22.2,21.1,0.3
Nashville,26,23,17.7,11.7,8.26,7.13,2.3,4.74,13.6,34.9,8.83,145.2,42.2,29.1,49.7,65.9,29.6,14.7,3.39,0,11.3,5.35,23,23.5,0.09
New England,25,23,16.5,11.1,7.04,7.04,2.39,4.13,13.6,30.4,9.48,150.3,46.1,30.7,46.5,69.5,34.3,16,2.74,0,13.3,6.48,23,22.6,0.35
NY Red Bulls,27,23,18.2,11.4,8.65,7,2.52,7.3,18.7,39.1,11.4,151.7,48.6,32,44.1,69.4,38.2,21.1,3.17,0.09,17.9,5.96,24.1,20.8,0.39
NYCFC,22,23,21.6,13.1,9.22,8.61,3.74,7.83,19.3,40.4,11.5,149.7,49.1,32.8,45.7,64.5,39.4,16.4,3.04,0.04,13.3,6.57,28.1,21,0.43
Orlando City,28,23,18.6,11.3,9.83,6.78,2,7.96,18.8,42.4,10.8,128.5,37.4,29.1,45.3,53.9,29.3,15.8,3.39,0,12.4,4.91,23.5,25,0.17
Philadelphia,23,23,21.3,13.3,9.87,7.96,3.52,5.96,17.2,34.6,11.3,161.8,46.8,28.9,53.7,71.3,36.8,15.8,3.26,0.04,12.6,6.87,28.2,23.5,0.22
Portland Timbers,27,23,17.1,10.6,9.26,5.52,2.35,5.65,16.5,34.3,10.8,137,38.4,28,54.3,56.6,26.1,17.1,3.35,0.04,13.8,6.7,23.8,24.9,0.22
Real Salt Lake,26,22,18.8,11,8.41,8.05,2.36,6.73,18.7,36,12,138.6,43.6,31.5,44,61.7,32.8,15,2.73,0,12.3,5.73,24.5,21.1,0.18
San Jose,27,23,17.8,11.7,9.22,6.48,2.09,6.09,17.3,35.2,11.2,148.1,46,31,56.3,63.7,28,15.1,3.61,0.04,11.5,6.61,24.4,16,0.48
Seattle,27,22,17.8,11.2,8.91,6.86,2.05,6.27,16,39.2,9.73,130.9,40.6,31,44.8,56.2,29.9,12.6,2.68,0.05,9.91,6.82,24.6,21.4,0.18
Sporting KC,23,21,17,11.3,7.67,6.38,2.9,6.33,16.8,37.8,10.4,142.6,42.7,29.9,37.5,66.5,38.6,15.2,2.14,0.05,13,6.48,23.4,22.3,0.1
Toronto FC,29,23,16.7,10.9,8.39,6.13,2.22,5.96,16.5,36.1,10.6,131.1,43.1,32.9,43.7,58.2,29.2,14.6,2.48,0.04,12.1,4.13,20.9,19.2,0.35
Vancouver,27,23,17.1,10.2,9.83,5.17,2.13,5.83,16.9,34.5,11,135,34.7,25.7,54.8,55.5,24.7,17.6,4.78,0.04,12.8,7.09,24.2,23.6,0.26